# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries from original 2MASS XSC that have been rejected -- stellar sources, pieces of galaxies, artifacts, etc.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs notes
17082670+1422352 257.111270  14.376410  34.841520  29.191980 11.727 12.406 13.693 11.727 12.406 13.693 0.095 0.103 0.117 0.056 0.073 0.095 0.134 1.336 1.336 0.500 22    NN 0333 del_v4
17090171+1422190 257.257080  14.371940  34.900870  29.060500  9.491 10.468 11.907  9.491 10.468 11.907 0.063 0.100 0.122 0.031 0.051 0.077 0.141 1.828 1.828 0.700 22    JH 0111 del_v4
17115310-2310113 257.971283 -23.169838   0.662062   9.493228 11.729 11.939 12.642 11.680 11.885 12.433 0.083 0.075 0.078 0.094 0.094 0.090 0.641 0.991 1.284 0.700 21    NN 0333 del_v3
17145166+1359537 258.715240  13.998289  35.150753  27.614908  9.412  9.788 11.198  9.412  9.788 11.198 0.089 0.087 0.121 0.045 0.044 0.068 0.141 1.969 1.969 0.420 25    LM 0222 rjc_v0
17155815+1413467 258.992432  14.229804  35.511166  27.460827 10.142 10.867 11.054 10.142 10.867 11.054 0.085 0.096 0.047 0.043 0.051 0.026 0.128 1.916 1.917 0.720 25    LM 0666 rjc_v0
17162958+0625518 259.123352   6.431054  27.736834  24.020491 11.042 11.320 12.111 10.854 11.143 12.007 0.089 0.055 0.046 0.074 0.053 0.059 0.155 1.415 1.625 0.760 40    LM 0666 rjc_v0
17230761-1849383 260.781677 -18.827347   5.800697   9.756717 10.383 10.615 11.254 10.383 10.614 11.254 0.066 0.055 0.055 0.250 0.188 0.243 0.674 1.507 1.654 0.340 98    NN 0222 del_v3
17274586-0504120 261.941101  -5.070008  18.420860  16.034792 10.693 10.815 11.293 10.638 10.815 11.284 0.095 0.061 0.045 0.090 0.058 0.051 0.751 1.435 1.592 0.880 27    LM 0222 rjc_v0
17290957-6226441 262.289886 -62.445618 329.577820 -15.047101  8.883  9.108  9.789  8.768  8.988  9.655 0.039 0.032 0.027 0.038 0.031 0.026 0.084 1.814 1.960 0.520 98    NN 0111 del_v3
17291562+1609275 262.315247  16.157610  38.896317  25.269751 11.332 11.655 12.386 11.332 11.655 12.386 0.083 0.048 0.038 0.045 0.029 0.025 0.120 1.561 1.562 0.180 98    NN 0044 del_v3
17291677-6226501 262.319977 -62.447250 329.583649 -15.059939 11.266 11.486 12.249 11.266 11.486 12.249 0.110 0.078 0.063 0.058 0.046 0.041 0.084 1.621 1.621 0.520 40    LM 0222 rjc_v0
17360511-6153378 264.021179 -61.893967 330.489685 -15.475598 10.175 10.430 11.122 10.175 10.429 11.122 0.043 0.035 0.026 0.046 0.039 0.015 0.064 1.537 1.681 0.520 98    NN 0111 del_v3
17413875-0437261 265.411530  -4.624003  20.591690  13.251557 10.870 11.089 11.710 10.723 11.089 11.710 0.085 0.061 0.050 0.073 0.036 0.032 0.718 1.581 1.756 0.280 98    NN 0333 del_v3
17445915+6627478 266.246490  66.463303  96.323357  31.309624 11.039 11.551 99.999 10.976 11.550 14.100 0.041 0.033 9.999 0.037 0.038 0.029 0.043 1.107 1.366 1.000 21    LM 024n del_v3
17465074+2045440 266.711517  20.762257  45.297497  23.147060 10.949 11.146 11.882 10.578 10.792 11.644 0.092 0.047 0.042 0.094 0.054 0.058 0.087 1.618 1.980 0.480 40    LM 0666 rjc_v0
17471057-6438512 266.794037 -64.647545 328.544495 -17.855007 11.358 11.473 11.995 10.939 10.993 11.485 0.105 0.070 0.044 0.106 0.072 0.047 0.070 1.338 1.715 0.340 25    ND 0666 rjc_v0
17471068-6438207 266.794464 -64.639084 328.552582 -17.851456  9.604  9.801 10.311  9.604  9.801  9.851 0.051 0.040 0.026 0.025 0.020 0.040 0.070 1.810 2.193 0.540 40    LM 0111 rjc_v0
17494097+5333541 267.420780  53.565130  81.293660  30.501820 10.917 11.250 12.026 10.664 10.939 11.693 0.050 0.041 0.032 0.052 0.045 0.038 0.037 1.228 1.577 0.860 22    JH 0333 del_v4
17543888+6803287 268.661990  68.057980  98.124620  30.299580 10.842 11.265 11.947 10.839 11.265 11.458 0.057 0.037 0.028 0.081 0.021 0.022 0.051 1.442 1.628 0.460 22    JH 0333 del_v4
18022485+2602250 270.603638  26.040398  52.014526  21.711098 10.487 10.797 11.479 10.398 10.562 11.326 0.034 0.029 0.021 0.040 0.025 0.023 0.102 1.600 1.822 0.280 98    NN 0333 del_v3
18120556+2909065 273.023193  29.151888  55.945885  20.787642 10.347 10.660 11.360 10.347 10.660 11.360 0.033 0.030 0.020 0.017 0.015 0.011 0.090 1.732 1.732 0.180 40    LM 0333 rjc_v0
18122066+3937478 273.086182  39.629993  66.728554  24.028852 11.277 11.460 12.218 11.064 11.164 11.919 0.067 0.035 0.028 0.058 0.031 0.028 0.029 1.360 1.602 0.420 98    NN 0222 del_v3
18125527+6821484 273.230438  68.363441  98.471947  28.603676  9.957 10.274 10.993  9.850 10.246 10.993 0.036 0.023 0.018 0.036 0.027 0.146 0.047 1.609 1.764 0.200 98    NN 0000 del_v3
18130143+5709199 273.256200  57.155440  85.807720  27.621000 10.582 10.859 11.528 10.453 10.792 11.466 0.037 0.031 0.022 0.034 0.031 0.024 0.042 1.579 1.748 0.380 22    JH 0000 del_v4
18145602+1901499 273.733368  19.030634  46.301052  16.387400 11.523 11.791 12.601 11.522 11.789 12.601 0.067 0.052 0.045 0.109 0.099 0.031 0.137 1.490 1.648 0.220 98    NN 0111 del_v3
18164944-5713361 274.205994 -57.226799 337.199554 -18.114309  9.693  9.915 11.944  9.693  9.915 11.944 0.037 0.029 0.062 0.039 0.030 0.039 0.117 1.679 1.807 0.280 98    NN 0111 del_v3
18183001-5212461 274.625061 -52.212822 342.138306 -16.394920  8.718  8.359  9.342  8.718  8.359  9.342 0.042 0.029 0.022 0.021 0.014 0.031 0.108 2.040 2.140 0.520 26    LM 0666 rjc_v0
18193109+6618383 274.879730  66.310710  96.186880  27.852950 11.063 11.374 12.031 10.700 11.374 11.900 0.152 0.110 0.073 0.101 0.064 0.074 0.044 1.708 1.798 0.380 22    JH 0333 del_v4
18205551+3259271 275.231260  32.990840  60.489730  20.327110 11.629 12.092 12.496 11.629 12.092 12.496 0.998 0.774 0.473 9.999 9.999 0.625 0.057 2.079 2.177 1.000 22    NN 0666 del_v4
18214796-5959341 275.449830 -59.992580 334.724180 -19.722350 11.641 11.904 12.863 11.639 11.904 12.713 0.049 0.035 0.032 0.070 0.044 0.038 0.101 1.000 1.320 0.560 22    NN 0000 del_v4
18225972+4339469 275.748749  43.662907  71.559875  23.235931 11.445 11.722 12.491 11.445 11.722 12.491 0.058 0.027 0.026 0.032 0.016 0.017 0.056 1.318 1.318 0.380 98    NN 0111 del_v3
18231768-4308580 275.823578 -43.149403 351.043457 -13.433263 10.269 10.568 11.382 10.269 10.568 11.382 0.055 0.039 0.036 0.027 0.020 0.021 0.068 1.651 1.652 0.300 40    LM 0666 rjc_v0
18275225-5312286 276.967621 -53.208229 341.739685 -18.085951 10.879 11.071 11.869 10.878 10.966 11.868 0.071 0.047 0.038 0.076 0.044 0.052 0.095 1.500 1.646 0.340 40    LM 0222 rjc_v0
18294495+4501155 277.437408  45.020962  73.341682  22.457205 10.982 11.264 11.903 10.852 11.140 11.729 0.042 0.031 0.021 0.038 0.032 0.023 0.053 1.204 1.461 0.760 21    LM 0000 del_v3
18421925+1742167 280.580139  17.704628  47.837570   9.926870 11.098 11.260 11.860 11.071 11.115 11.799 0.051 0.030 0.027 0.050 0.030 0.031 0.434 1.130 1.381 0.760 21    LM 0313 del_v3
18522403+7311312 283.100311  73.192039 104.195755  25.812319 11.709 12.151 12.859 11.709 12.032 12.663 0.079 0.058 0.046 0.166 0.068 0.051 0.078 1.569 1.734 0.120 98    NN 0000 del_v3
18533628-5643133 283.401215 -56.720364 339.426758 -22.694645 11.730 12.083 12.817 11.590 12.017 12.689 0.083 0.051 0.047 0.080 0.059 0.055 0.081 1.248 1.467 0.460 40    LM 0222 rjc_v0
18564351+2514134 284.181396  25.237123  56.206100  10.127893 10.915 11.224 11.946 10.749 11.082 11.753 0.066 0.046 0.037 0.055 0.046 0.038 0.262 1.408 1.600 0.360 40    LM 0111 rjc_v0
18565303-5433077 284.221008 -54.552212 341.824524 -22.564789 11.487 11.618 12.340 11.414 11.614 12.340 0.118 0.068 0.058 0.115 0.077 0.038 0.085 1.367 1.566 1.000 98    NN 0666 del_v3
18574439+2651306 284.435000  26.858500  57.795750  10.613360 11.485 11.946 12.595 11.069 11.639 12.260 0.075 0.072 0.052 0.085 0.103 0.078 0.197 1.246 1.637 0.840 21    NN 0111 del_v4
19004514+1741359 285.188080  17.693340  49.772630   5.977380 11.248 11.570 12.489 11.144 11.373 12.222 0.078 0.054 0.069 0.075 0.058 0.075 0.624 1.453 1.679 0.140 22    NN 0333 del_v4
19055341-2534425 286.472504 -25.578527  11.226508 -14.327056 11.628 11.853 12.467 11.587 11.737 12.319 0.053 0.033 0.030 0.055 0.036 0.033 0.206 0.982 1.257 0.820 21    NN 0331 del_v3
19112359-5038309 287.848297 -50.641983 346.550201 -23.681093 10.023 10.239 11.064  9.936 10.192 11.042 0.043 0.035 0.028 0.041 0.034 0.031 0.070 1.519 1.692 0.760 40    LM 0666 rjc_v0
19112756+2112142 287.864838  21.204039  54.065067   5.309405 11.198 11.240 11.820 10.974 11.040 11.607 0.082 0.048 0.053 0.081 0.050 0.063 0.978 1.318 1.584 0.480 21    LM 0333 del_v3
19134442-1849346 288.435059 -18.826309  18.338251 -13.237523 11.496 11.724 12.435 11.496 11.720 12.435 0.070 0.043 0.035 0.082 0.093 0.024 0.112 1.403 1.567 0.240 98    NN 0000 del_v3
19151537-5407299 288.813995 -54.124977 342.980225 -25.061220  9.799 10.085 10.836  9.799 10.085 10.836 0.029 0.023 0.019 0.015 0.011 0.010 0.061 1.667 1.666 0.320 40    LM 0666 rjc_v0
19152093+2254593 288.837311  22.916475  56.008389   5.289386 11.090 11.230 11.962 10.933 11.064 11.840 0.082 0.063 0.068 0.072 0.063 0.080 0.837 1.452 1.639 0.280 21    LM 0333 del_v3
19162641+6222167 289.110168  62.371239  93.333359  21.042114 11.662 11.940 12.702 11.450 11.827 12.507 0.060 0.038 0.032 0.064 0.049 0.041 0.061 1.093 1.447 0.840 21    NN 0333 del_v3
19213108+6108554 290.379486  61.148678  92.313370  20.070959 10.016 10.351 11.109  9.976 10.271 11.043 0.028 0.019 0.016 0.029 0.020 0.018 0.068 1.550 1.719 0.400 40    LM 0666 rjc_v0
19215480+3558451 290.478210  35.979401  68.415909   9.927721 11.441 11.837 12.591 11.314 11.729 12.371 0.060 0.044 0.038 0.056 0.049 0.048 0.144 1.316 1.527 0.340 40    NN 0111 del_v3
19242069-2559079 291.086243 -25.985552  12.507410 -18.316170 11.637 11.832 12.600 11.102 11.398 12.266 0.125 0.099 0.076 0.096 0.091 0.083 0.088 1.453 1.704 0.400 98    NN 0222 del_v3
19284099+4323034 292.170715  43.384357  75.767105  12.038020 11.681 12.077 12.774 11.398 11.801 12.572 0.084 0.059 0.047 0.091 0.073 0.067 0.114 1.158 1.515 0.700 21    NN 0333 del_v3
19320659+0624059 293.027496   6.401694  43.314983  -6.043927 11.087 11.308 11.980 10.963 11.192 11.888 0.070 0.061 0.055 0.062 0.062 0.063 0.374 1.250 1.474 0.660 21    LM 0333 del_v3
19351506-6252474 293.812592 -62.879780 333.669586 -28.877287 11.388 12.511 12.847 11.388 12.511 12.847 0.263 0.324 0.214 0.143 0.234 0.151 0.067 1.655 1.655 1.000 98    NN 0111 del_v3
19393837-3055582 294.909851 -30.932789   8.798809 -23.189045 11.577 11.658 12.455 11.108 11.629 12.455 0.102 0.064 0.046 0.075 0.079 0.031 0.138 1.505 1.692 0.580 98    NN 0131 del_v3
19403999-6002523 295.166504 -60.047867 336.953949 -29.327187 10.757 11.131 11.874 10.671 11.059 11.782 0.047 0.036 0.029 0.043 0.037 0.033 0.085 1.539 1.712 0.400 40    LM 0666 rjc_v0
19433383-5838227 295.890961 -58.639732 338.598206 -29.591087 11.368 11.603 12.186 11.197 11.061 11.631 0.066 0.045 0.033 0.061 0.033 0.025 0.064 1.199 1.430 0.160 98    NN 0311 del_v3
19473286-1006451 296.886932 -10.112674  30.087101 -17.003590 11.179 11.479 12.207 11.009 11.308 12.000 0.089 0.062 0.047 0.076 0.060 0.048 0.234 1.346 1.569 0.560 40    LM 0222 rjc_v0
19502529-1045590 297.605440 -10.766360  29.784910 -17.922020 10.255 12.319 13.144 10.255 12.319 13.144 0.026 0.060 0.064 0.013 0.043 0.049 0.256 1.260 1.260 0.720 21    JH 0044 del_v4
19540414+4956388 298.517273  49.944096  83.755463  11.212207 11.696 12.034 12.658 11.647 11.835 12.658 0.072 0.054 0.042 0.077 0.055 0.029 0.183 1.487 1.691 0.360 98    NN 0222 del_v3
19544001-1241168 298.666901 -12.687943  28.406258 -19.673998 11.540 11.781 12.289 11.111 11.460 11.928 0.110 0.077 0.056 0.081 0.069 0.052 0.151 1.356 1.542 0.820 98    NN 0222 del_v3
20003875-6907595 300.161500 -69.133240 326.400270 -31.356210 11.746 12.185 12.983 11.219 11.496 12.382 0.082 0.069 0.054 0.110 0.091 0.101 0.056 1.164 1.640 0.800 22    NN 0000 del_v4
20030099+4055353 300.754180  40.926460  76.706390   5.284180 11.506 11.790 12.458 11.379 11.772 12.409 0.085 0.079 0.073 0.084 0.099 0.096 0.814 1.176 1.415 0.500 22    NN 0333 del_v4
20033564-4817211 300.898376 -48.289173 350.892883 -31.585499  9.920 10.160 10.792  9.710 10.160 10.792 0.043 0.030 0.021 0.050 0.027 0.012 0.047 1.562 1.857 0.560 40    LM 0555 rjc_v0
20034772-0548386 300.948914  -5.810830  36.003674 -18.728630 11.555 12.015 12.729 11.418 11.941 12.714 0.083 0.066 0.058 0.080 0.077 0.076 0.190 1.167 1.410 0.660 21    NN 0313 del_v3
20102369+4627398 302.598633  46.461048  82.135574   7.093682 10.170 10.828 10.797 10.160 10.828 10.630 0.016 0.018 0.009 0.017 0.010 0.012 0.605 0.886 1.294 0.520 25    LM 0000 del_v3
20115976-4129464 302.998990 -41.496270 359.056820 -32.116040 11.748 11.988 13.002 11.306 11.541 12.559 0.116 0.087 0.076 0.087 0.070 0.069 0.049 1.371 1.557 0.600 22    NN 0333 del_v4
20182151-4153586 304.589752 -41.899582 358.799408 -33.351547 11.422 11.607 12.206 11.421 11.604 12.206 0.066 0.052 0.034 0.071 0.132 0.047 0.061 1.398 1.563 0.360 40    NN 0111 del_v3
20193212+2420110 304.883759  24.336374  64.675560  -6.671638 11.389 11.544 12.208 11.170 11.473 11.861 0.058 0.045 0.041 0.077 0.076 0.059 0.551 1.021 1.483 0.800 21    LM 0333 del_v3
20212069+2230211 305.336210  22.505810  63.375640  -8.035930 10.747 10.767 10.768 10.747 10.767 10.768 0.041 0.027 0.013 0.021 0.015 0.007 0.497 1.272 1.272 0.400 21    NN 0222 del_v4
20231192+1137199 305.799683  11.622230  54.325172 -14.354168 11.748 11.959 12.672 11.651 11.573 12.213 0.070 0.040 0.037 0.080 0.040 0.037 0.154 1.090 1.434 0.400 21    NN 0333 del_v3
20250664-2448335 306.277710 -24.809305  18.850153 -30.823904  8.514  8.807  9.444  8.348  8.656  9.286 0.022 0.017 0.013 0.020 0.016 0.012 0.063 1.876 2.021 0.540 98    NN 0155 del_v3
20321946-1943568 308.080933 -19.732542  25.069407 -30.725319 11.128 11.521 12.241 10.927 11.296 12.241 0.076 0.065 0.041 0.065 0.063 0.026 0.058 1.318 1.574 0.780 40    LM 0111 rjc_v0
20354282+3155388 308.928345  31.927593  72.977180  -5.209072 11.286 11.474 11.976 11.179 11.394 11.893 0.069 0.058 0.047 0.067 0.067 0.057 0.905 1.188 1.426 0.660 21    LM 0333 del_v3
20374765+5138017 309.448547  51.633804  88.983429   6.331005 10.309 10.504 11.249 10.153 10.358 11.082 0.066 0.060 0.052 0.057 0.058 0.056 0.908 1.709 1.908 0.200 98    NN 0666 del_v3
20472382-3825056 311.849270 -38.418280   3.931590 -38.410840  9.505  9.781 10.520  9.309  9.761 10.420 0.039 0.028 0.022 0.034 0.029 0.023 0.049 1.748 1.913 0.640 22    JH 0133 del_v4
20475270+1757034 311.969849  17.950943  63.213589 -15.745161 11.726 11.984 12.631 11.633 11.858 12.494 0.069 0.036 0.032 0.070 0.039 0.041 0.112 1.253 1.470 0.300 98    NN 0333 del_v3
20482154-6131025 312.089870 -61.517270 334.546880 -37.448630 11.367 11.793 12.532 11.147 11.679 12.348 0.069 0.052 0.041 0.063 0.062 0.049 0.044 1.384 1.632 0.580 22    NN 0333 del_v4
20483814+3151438 312.158783  31.862164  74.606544  -7.423522 11.538 11.758 12.270 11.428 11.612 12.143 0.078 0.048 0.041 0.076 0.052 0.047 0.324 1.262 1.477 0.380 35    NN 0333 del_v3
20510128-1710242 312.755432 -17.173370  29.777975 -33.948715 11.640 12.012 12.728 11.323 11.592 12.384 0.070 0.051 0.040 0.094 0.070 0.062 0.060 1.053 1.510 0.780 21    NN 0000 del_v3
21041082-1121481 316.045074 -11.363360  37.762245 -34.571171  8.758  9.464  9.362  8.748  9.456  9.325 0.009 0.010 0.004 0.009 0.011 0.004 0.106 1.307 1.515 0.740 30    LM 0111 rjc_v0
21080312-4023357 317.013030 -40.393330   1.727260 -42.534320 10.631 10.912 11.356 10.631 10.912 11.356 0.065 0.042 0.026 0.033 0.022 0.015 0.041 1.766 1.766 0.200 21    JH 0222 del_v4
21135465+0233487 318.477750   2.563620  53.522620 -29.827940 10.091 10.376 11.135 10.091 10.376 11.135 0.047 0.043 0.029 0.024 0.022 0.016 0.068 1.770 1.770 0.340 22    JH 0311 del_v4
21183114+2626297 319.629791  26.441660  74.705750 -15.901031  9.582  9.815 10.506  9.582  9.815 10.506 0.042 0.030 0.023 0.021 0.015 0.012 0.122 1.599 1.599 0.160 40    LM 0111 rjc_v0
21220675+1840003 320.528229  18.666716  69.131218 -21.673246 11.323 11.654 12.286 11.157 11.580 12.245 0.070 0.057 0.040 0.067 0.069 0.054 0.095 1.555 1.790 0.440 98    NN 0666 del_v3
21300103+4036550 322.504303  40.615402  86.785431  -7.712602 11.462 11.683 12.287 11.402 11.575 12.138 0.061 0.038 0.033 0.063 0.041 0.038 0.557 1.041 1.317 0.620 21    LM 0333 del_v3
21325745-0619359 323.239441  -6.326692  47.412823 -38.558769 11.561 11.963 12.536 11.389 11.923 12.347 0.073 0.054 0.036 0.071 0.067 0.041 0.045 1.155 1.433 0.820 21    NN 0000 del_v3
21340823+0600366 323.534390   6.010110  60.198810 -31.946760 11.389 11.501 12.071 11.389 11.501 12.071 1.038 0.628 0.412 9.999 0.866 0.261 0.058 2.079 2.178 0.840 22    NN 0111 del_v4
21355935+2402198 323.997380  24.038690  75.713190 -20.424380 11.654 11.816 12.381 11.631 11.816 12.364 0.043 0.034 0.023 0.140 0.305 0.028 0.082 1.215 1.418 0.360 22    NN 0000 del_v4
21362777-0953236 324.115630  -9.889990  43.887170 -41.031760 10.967 11.390 12.066 10.802 11.153 11.869 0.063 0.051 0.036 0.054 0.048 0.038 0.041 1.276 1.514 0.820 22    JH 0331 del_v4
21463810+0817407 326.658752   8.294623  64.607643 -32.940235 11.586 11.988 12.572 11.231 11.524 12.325 0.102 0.062 0.044 0.094 0.059 0.055 0.075 1.270 1.582 0.620 40    LM 0222 rjc_v0
21465245-2637237 326.718600 -26.623240  22.697870 -49.079040 11.272 11.602 12.148 10.678 11.156 11.600 0.076 0.055 0.033 0.078 0.070 0.043 0.030 1.462 1.843 0.360 22    NN 0111 del_v4
22015330-5956437 330.472050 -59.945450 332.231410 -46.376710 11.202 11.564 12.272 10.775 11.437 11.919 0.082 0.061 0.046 0.081 0.091 0.062 0.039 1.364 1.722 0.720 22__P JH 0111 del_v4
22024152-5117471 330.672974 -51.296455 343.918976 -50.191822  9.266  9.687  9.796  9.266  9.687  9.796 0.055 0.055 0.026 0.028 0.027 0.013 0.025 1.824 1.824 0.600 98    NN 0331 del_v3
22065763-3022414 331.740200 -30.378170  17.771560 -53.999080 11.434 11.617 12.439 11.434 11.617 12.439 0.134 0.067 0.060 0.073 0.040 0.040 0.019 1.439 1.439 0.620 22    NN 0000 del_v4
22074578+4843504 331.940887  48.730602  97.194725  -5.788769 11.012 11.195 11.761 10.936 11.101 11.647 0.052 0.034 0.028 0.048 0.034 0.032 0.368 1.204 1.438 0.400 21    LM 0000 del_v3
22075236+3121333 331.968231  31.359280  86.506401 -19.707087  6.869  7.099  7.789  6.798  7.024  7.707 0.013 0.007 0.007 0.013 0.007 0.007 0.088 1.980 2.116 0.920 98    NN 0111 del_v3
22075609+3121129 331.983734  31.353607  86.513725 -19.719736  9.979 10.229 10.820  9.979 10.229 10.820 0.050 0.027 0.021 0.025 0.013 0.011 0.088 1.598 1.597 1.000 40    LM 0666 rjc_v0
22165396+4030083 334.224731  40.502346  93.714928 -13.442345  9.057  9.322  9.988  9.057  9.322  9.988 0.025 0.019 0.016 0.013 0.030 0.040 0.168 1.794 1.911 0.360 98    NN 0331 del_v3
22174168-2343387 334.423584 -23.727480  29.800119 -55.253689 11.088 11.434 12.070 10.888 11.244 11.922 0.071 0.054 0.033 0.060 0.053 0.039 0.033 1.405 1.635 0.680 40    LM 0222 rjc_v0
22282096-8026398 337.087280 -80.444410 309.711980 -34.717210 10.421 10.414 11.138  9.902 10.410 10.842 0.104 0.063 0.046 0.076 0.070 0.050 0.124 1.766 1.953 0.980 22    JH 0331 del_v4
22372793+1031437 339.366455  10.528827  77.610626 -40.269840 11.249 11.529 12.246 11.248 11.528 12.246 0.076 0.061 0.039 0.078 0.071 0.025 0.083 1.458 1.613 0.360 40    LM 0666 rjc_v0
22431991+3400052 340.832977  34.001492  94.681038 -21.748409 11.444 12.732 12.365 11.444 12.732 12.365 0.086 0.076 0.036 0.090 0.058 0.049 0.080 1.587 1.723 0.420 98    NN 0222 del_v3
22461535-5243269 341.564120 -52.724240 336.605440 -55.430130 11.584 12.035 12.748 11.584 12.035 12.748 0.087 0.055 0.047 0.049 0.036 0.033 0.013 1.494 1.494 0.300 22    NN 0333 del_v4
22484014+5309449 342.167210  53.162490 105.030280  -5.388100  9.589  9.860 10.516  9.431  9.718 10.350 0.036 0.035 0.028 0.032 0.031 0.026 0.383 1.644 1.805 0.520 22    NN 0331 del_v4
22484680-3705272 342.194855 -37.090912   4.108920 -62.331547 11.584 11.875 12.619 11.406 11.754 12.517 0.065 0.042 0.034 0.070 0.047 0.042 0.022 1.326 1.560 0.300 98    NN 0000 del_v3
22513480+5000316 342.894928  50.008732 103.998062  -8.404798 11.301 11.598 12.372 11.194 11.387 12.176 0.052 0.044 0.037 0.050 0.044 0.040 0.233 1.210 1.439 0.480 98    NN 0111 del_v3
22523210+1139352 343.133850  11.659764  82.386711 -41.664722 11.642 11.907 12.599 11.180 10.869 11.770 0.106 0.071 0.055 0.103 0.046 0.045 0.071 1.283 1.655 0.520 98    NN 0626 del_v3
22532041+3207529 343.335114  32.131363  95.655594 -24.411051 10.473 10.822 11.474 10.473 10.822 11.474 0.054 0.037 0.026 0.027 0.020 0.016 0.069 1.547 1.547 0.460 40    LM 0000 rjc_v0
22533978+5005331 343.415924  50.092625 104.338615  -8.478860 11.504 11.903 12.578 11.424 11.787 12.456 0.057 0.051 0.040 0.060 0.061 0.053 0.244 1.314 1.520 0.240 21    NN 0000 del_v3
22562526+3614231 344.105225  36.239834  98.360077 -21.084316 11.376 11.630 12.362 11.268 11.624 12.245 0.065 0.046 0.032 0.061 0.054 0.044 0.117 1.407 1.598 0.280 98    NN 0111 del_v3
22591210+1336053 344.800323  13.601527  85.643448 -41.004681 11.711 12.019 12.758 11.430 11.609 12.713 0.100 0.059 0.050 0.095 0.056 0.070 0.080 1.439 1.705 0.120 98    NN 0333 del_v3
22591305+2941518 344.804440  29.697690  95.600330 -27.151280 11.754 12.256 12.966 11.228 11.692 12.646 0.076 0.070 0.055 0.099 0.102 0.106 0.048 1.228 1.685 0.660 22    NN 0333 del_v4
23005993+3008416 345.249695  30.144897  96.217796 -26.935762  8.306  8.554  9.183  8.173  8.440  9.064 0.026 0.016 0.013 0.024 0.016 0.013 0.053 1.899 2.040 0.560 98    NN 0000 del_v3
23010728+1622581 345.280273  16.382792  88.119194 -38.918789 10.106 10.322 10.959 10.106 10.322 10.959 0.052 0.028 0.022 0.026 0.014 0.012 0.077 1.576 1.576 0.600 40    LM 0222 rjc_v0
23120356+4849058 348.014832  48.818264 106.569679 -10.870508 11.649 11.799 12.685 11.368 11.538 12.249 0.054 0.037 0.036 0.053 0.038 0.042 0.232 1.396 1.641 0.220 98    NN 0211 del_v3
23132742-8137400 348.364929 -81.627777 307.141998 -34.683769 11.409 11.652 12.381 10.963 11.511 12.246 0.097 0.071 0.054 0.107 0.116 0.097 0.165 1.394 1.835 0.580 98    NN 0222 del_v3
23322239+2330467 353.093384  23.512941 100.429230 -35.880028 11.479 11.820 12.526 11.478 11.820 12.526 0.072 0.047 0.036 0.119 0.029 0.024 0.063 1.501 1.667 0.340 98    NN 0000 del_v3
23420033+5355053 355.501434  53.918198 112.722237  -7.571372 11.282 11.544 12.176 10.932 11.304 11.917 0.062 0.050 0.040 0.073 0.073 0.062 0.341 1.225 1.638 0.720 21    LM 0333 del_v3
23432511+5537023 355.854980  55.617382 113.373360  -5.986826 11.566 11.861 12.529 11.566 11.859 12.499 0.065 0.048 0.045 0.338 0.204 0.177 0.504 1.255 1.451 0.440 98    NN 0000 del_v3
23472909+5502481 356.871124  55.046753 113.789818  -6.685652 11.231 11.435 12.044 11.057 11.362 11.976 0.053 0.034 0.030 0.057 0.045 0.043 0.405 1.127 1.504 0.680 21    LM 0000 del_v3
23535429+0757368 358.476349   7.960322  99.241615 -52.245068 11.469 11.711 12.413 11.469 11.711 12.413 0.099 0.066 0.052 0.055 0.041 0.034 0.051 1.286 1.286 0.720 98    NN 0666 del_v3
23562523-2901242 359.105160 -29.023400  20.849380 -77.724490 10.036 10.381 11.111  9.598 10.379 11.109 0.125 0.102 0.080 0.083 0.099 0.089 0.017 1.974 2.070 0.480 22    JH 0000 del_v4
